name,company,year,Price,kms_driven,fuel_type
SantroXing,Hyundai,2007,80000,45000,Petrol
Grandi10,Hyundai,2014,325000,28000,Petrol
EcoSportTitanium,Ford,2014,575000,36000,Diesel
Figo,Ford,2012,175000,41000,Diesel
Eon,Hyundai,2013,190000,25000,Petrol
EcoSportAmbiente,Ford,2016,830000,24530,Diesel
SuzukiAlto,Maruti,2015,250000,60000,Petrol
FabiaClassic,Skoda,2010,182000,60000,Petrol
SuzukiStingray,Maruti,2015,315000,30000,Petrol
Elitei20,Hyundai,2014,415000,32000,Petrol
ScorpioSLE,Mahindra,2015,320000,48660,Diesel
A8,Audi,2017,1000000,4000,Petrol
Q7,Audi,2014,500000,16934,Diesel
ScorpioS10,Mahindra,2016,350000,43000,Diesel
SuzukiAlto,Maruti,2014,160000,35550,Petrol
ScorpioS10,Mahindra,2016,310000,39522,Diesel
SuzukiAlto,Maruti,2015,75000,39000,Petrol
i20Sportz,Hyundai,2012,100000,55000,Petrol
SuzukiAlto,Maruti,2017,190000,72000,Petrol
SuzukiVitara,Maruti,2016,290000,15975,Diesel
SuzukiAlto,Maruti,2008,95000,70000,Petrol
BoleroDI,Mahindra,2017,180000,23452,Diesel
SuzukiSwift,Maruti,2014,385000,35522,Diesel
ScorpioS10,Mahindra,2015,250000,48508,Diesel
SuzukiSwift,Maruti,2017,180000,15487,Petrol
SuzukiWagon,Maruti,2013,105000,39000,Petrol
Innova2.0,Toyota,2012,650000,82000,Diesel
Lodgy85,Renault,2018,689999,20000,Diesel
YetiAmbition,Skoda,2012,448000,68000,Diesel
SuzukiBaleno,Maruti,2017,549000,32000,Diesel
Duster110,Renault,2012,501000,38000,Diesel
Duster85,Renault,2013,489999,27000,Diesel
City1.5,Honda,2011,280000,33000,Petrol
SuzukiDzire,Maruti,2013,349999,46000,Diesel
Amaze,Honda,2013,284999,46000,Diesel
Amaze1.5,Honda,2015,345000,36000,Diesel
City,Honda,2015,499999,55000,Petrol
RediGO,Datsun,2017,235000,16000,Petrol
SuzukiSX4,Maruti,2010,249999,36000,Petrol
PajeroSport,Mitsubishi,2015,1475000,47000,Diesel
ScorpioS10,Mahindra,2015,395000,35000,Diesel
SuzukiSwift,Maruti,2017,220000,30874,Petrol
CityZX,Honda,2017,170000,15000,Diesel
SuzukiWagon,Maruti,2013,85000,29685,Petrol
IndigoeCS,Tata,2017,200000,130000,Diesel
ScorpioSLE,Mahindra,2012,570000,19000,Diesel
PoloHighline,Volkswagen,2014,315000,60000,Petrol
SparkLS,Chevrolet,2010,110000,41000,Petrol
Duster110PS,Renault,2012,501000,35000,Diesel
City,Honda,2015,448999,54000,Petrol
CooperS,Mini,2013,1891111,13000,Petrol
Fabia1.2L,Skoda,2011,159500,38200,Diesel
Amaze,Honda,2015,344999,22000,Petrol
Duster,Renault,2014,449999,50000,Diesel
CooperS,Mini,2013,1891111,13500,Petrol
ScorpioS4,Mahindra,2015,865000,30000,Diesel
ScorpioVLX,Mahindra,2014,699000,50000,Diesel
QuantoC8,Mahindra,2013,375000,20000,Diesel
EcoSport,Ford,2017,489999,39000,Petrol
Brio,Honda,2012,224999,30000,Petrol
VentoHighline,Volkswagen,2019,1200000,3600,Diesel
i20Magna,Hyundai,2009,195000,32000,Petrol
CorollaAltis,Toyota,2010,351000,38000,Diesel
VernaTransform,Hyundai,2008,160000,45000,Petrol
CorollaAltis,Toyota,2009,240000,35000,Petrol
City1.5,Honda,2005,90000,50000,Petrol
Fabia1.2L,Skoda,2011,155000,45863,Diesel
3Series,BMW,2011,600000,60500,Petrol
